date,time,city,temp_C,condition_text,condition_code,humidity_%,wind_kph,wind_dir,precip_mm,cloud_%
2025-05-26,2025-05-26 00:00,Punta Arenas,4.1,Nublado,1006,79,23.4,SSE,0.0,63
2025-05-26,2025-05-26 01:00,Punta Arenas,4.2,Parcialmente nublado,1003,79,23.4,SSE,0.0,45
2025-05-26,2025-05-26 02:00,Punta Arenas,4.1,Despejado,1000,79,23.0,SSE,0.0,11
2025-05-26,2025-05-26 03:00,Punta Arenas,4.0,Despejado,1000,78,23.0,S,0.0,20
2025-05-26,2025-05-26 04:00,Punta Arenas,4.0,Despejado,1000,77,22.3,S,0.0,18
2025-05-26,2025-05-26 05:00,Punta Arenas,3.9,Despejado,1000,75,22.0,S,0.0,15
2025-05-26,2025-05-26 06:00,Punta Arenas,3.8,Despejado,1000,75,22.0,S,0.0,16
2025-05-26,2025-05-26 07:00,Punta Arenas,3.8,Despejado,1000,76,21.6,S,0.0,22
2025-05-26,2025-05-26 08:00,Punta Arenas,3.6,Despejado,1000,76,21.2,S,0.0,21
2025-05-26,2025-05-26 09:00,Punta Arenas,3.7,Despejado,1000,75,21.2,S,0.0,19
2025-05-26,2025-05-26 10:00,Punta Arenas,3.9,Soleado,1000,73,21.2,SSW,0.0,22
2025-05-26,2025-05-26 11:00,Punta Arenas,4.3,Parcialmente nublado,1003,70,20.9,S,0.0,26
2025-05-26,2025-05-26 12:00,Punta Arenas,4.9,Parcialmente nublado,1003,68,20.9,S,0.0,34
2025-05-26,2025-05-26 13:00,Punta Arenas,5.0,Parcialmente nublado,1003,68,21.2,S,0.0,62
2025-05-26,2025-05-26 14:00,Punta Arenas,4.9,Parcialmente nublado,1003,70,19.1,S,0.0,59
2025-05-26,2025-05-26 15:00,Punta Arenas,4.7,Parcialmente nublado,1003,70,16.9,S,0.0,32
2025-05-26,2025-05-26 16:00,Punta Arenas,4.3,Nublado,1006,69,15.1,S,0.0,74
